                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.97624,                0.55437,                0.94862,                0.99469,                  0.988,                0.98965,                0.73053,                0.95895,                 0.5234,                0.96198,             0.00036307,             0.00036307,             0.00036307
                     37,                0.97445,                0.54656,                0.95114,                0.99453,                0.98627,                0.99127,                 0.7234,                0.96386,                 0.5448,                 0.9623,             0.00034108,             0.00034108,             0.00034108
                     38,                0.95321,                0.56853,                0.94909,                0.99399,                   0.99,                0.99091,                0.72691,                0.95714,                0.52234,                0.95998,             0.00031908,             0.00031908,             0.00031908
                     39,                0.94178,                0.51692,                0.93773,                0.99342,                 0.9906,                0.99092,                0.73134,                0.95528,                 0.5258,                0.96273,             0.00029708,             0.00029708,             0.00029708
                     40,                0.96725,                0.54423,                0.93583,                0.99345,                0.99086,                0.99075,                0.73672,                0.94571,                 0.5258,                 0.9537,             0.00027508,             0.00027508,             0.00027508
                     41,                0.97228,                0.55344,                0.95586,                0.99454,                0.98534,                 0.9911,                0.72868,                0.95509,                0.53258,                0.96042,             0.00025309,             0.00025309,             0.00025309
                     42,                0.95045,                0.53999,                0.95826,                0.99229,                0.99111,                0.99103,                0.73314,                0.94732,                0.51732,                0.95914,             0.00023109,             0.00023109,             0.00023109
                     43,                0.96791,                0.53215,                0.96416,                0.99248,                0.99138,                0.99104,                0.73465,                0.94274,                 0.5144,                0.95495,             0.00020909,             0.00020909,             0.00020909
                     44,                0.95273,                0.52718,                 0.9566,                0.99225,                0.99073,                0.99116,                0.73436,                0.94202,                0.50903,                 0.9564,             0.00018709,             0.00018709,             0.00018709
                     45,                0.96988,                0.52643,                0.96054,                0.99108,                0.99093,                0.99192,                0.73785,                0.93799,                0.50379,                0.95579,             0.00016509,             0.00016509,             0.00016509
                     46,                0.93578,                  0.511,                0.94702,                0.99296,                0.98893,                0.99183,                  0.735,                0.93576,                0.50013,                0.95779,              0.0001431,              0.0001431,              0.0001431
                     47,                0.93443,                0.50949,                0.95429,                0.99307,                0.98979,                0.99186,                0.73601,                0.93442,                 0.4895,                0.95804,              0.0001211,              0.0001211,              0.0001211
                     48,                0.94829,                0.50939,                0.96868,                0.99315,                0.99062,                0.99176,                0.74082,                0.93319,                0.48186,                0.95458,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.92973,                0.50849,                0.94877,                 0.9929,                0.99102,                0.99175,                0.74302,                0.93294,                0.48038,                0.95296,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.92911,                 0.4963,                0.94923,                0.99236,                0.99166,                 0.9917,                0.74201,                0.93163,                0.48207,                0.95321,             5.5106e-05,             5.5106e-05,             5.5106e-05
