                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.92451,                0.50426,                0.90833,                0.99447,                0.98792,                0.98971,                0.73585,                0.92793,                0.48994,                0.91589,              0.0004085,              0.0004085,              0.0004085
                     37,                0.95609,                 0.5148,                0.92697,                0.99494,                0.98792,                0.98948,                 0.7429,                0.91281,                0.47814,                0.91204,             0.00038375,             0.00038375,             0.00038375
                     38,                0.93711,                0.48588,                0.92116,                0.99455,                0.98801,                0.98888,                0.74334,                0.91316,                0.47128,                0.91272,               0.000359,               0.000359,               0.000359
                     39,                0.95622,                0.52016,                0.92487,                0.99428,                0.98746,                0.98963,                0.74213,                 0.9101,                0.47288,                 0.9107,             0.00033425,             0.00033425,             0.00033425
                     40,                 0.9331,                0.49699,                0.91456,                0.99508,                0.98939,                0.98943,                0.73895,                0.92056,                0.47611,                0.91577,              0.0003095,              0.0003095,              0.0003095
                     41,                0.93875,                0.49946,                0.94108,                0.99488,                 0.9877,                0.98934,                0.74308,                0.90238,                 0.4719,                0.90897,             0.00028475,             0.00028475,             0.00028475
                     42,                0.92308,                0.49511,                0.92647,                0.99438,                0.99038,                0.98932,                0.74456,                0.90715,                0.46511,                0.91132,                0.00026,                0.00026,                0.00026
                     43,                0.91708,                0.48442,                 0.9218,                0.99472,                0.98892,                0.98934,                0.74026,                0.90398,                0.46677,                0.90924,             0.00023525,             0.00023525,             0.00023525
                     44,                0.91844,                0.48034,                0.91423,                0.99499,                0.98879,                0.98914,                0.74169,                0.90195,                0.46262,                0.90793,              0.0002105,              0.0002105,              0.0002105
                     45,                0.92507,                0.47847,                0.91929,                 0.9934,                0.98663,                0.98937,                 0.7442,                0.90161,                0.45797,                0.90734,             0.00018575,             0.00018575,             0.00018575
                     46,                0.89856,                0.46646,                0.92185,                0.98905,                0.99211,                0.98808,                0.74937,                0.90514,                0.45346,                0.90914,               0.000161,               0.000161,               0.000161
                     47,                 0.8984,                0.46303,                0.92344,                0.98786,                0.99059,                0.98866,                0.74839,                0.90149,                0.44756,                0.90873,             0.00013625,             0.00013625,             0.00013625
                     48,                0.90742,                0.46835,                0.91004,                0.99172,                0.99211,                0.99017,                0.74925,                 0.8963,                0.44617,                0.90766,              0.0001115,              0.0001115,              0.0001115
                     49,                0.89021,                 0.4513,                0.91977,                0.99217,                0.99211,                0.99014,                0.75017,                0.88553,                0.44318,                0.90489,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.87825,                0.44851,                0.91461,                0.99205,                0.99117,                0.98998,                 0.7538,                0.88189,                0.43656,                0.90454,                6.2e-05,                6.2e-05,                6.2e-05
